Date,Open,High,Low,Close,Volume
2015-03-19,2047.13,2047.13,2031.07,2037.89,468284000
2015-03-20,2037.13,2040.0,2027.81,2037.24,351731000
2015-03-23,2043.22,2043.92,2032.35,2036.59,314897000
2015-03-24,2035.08,2041.77,2028.54,2041.37,328833000
2015-03-25,2043.16,2046.97,2038.14,2042.81,423409000
2015-03-26,2027.2,2036.7,2019.51,2022.56,342260000
2015-03-27,2026.75,2027.25,2016.88,2019.8,448964000
2015-03-30,2026.6,2033.27,2018.12,2030.04,439556000
2015-03-31,2042.31,2046.9,2032.24,2041.03,555933000
2015-04-01,2035.4,2039.04,2024.64,2028.45,542801000
2015-04-02,2036.9,2040.45,2028.22,2029.07,655863000
2015-04-03,2035.83,2045.94,2031.27,2045.42,498635000
2015-04-06,2049.87,2055.45,2043.26,2046.43,460493000
2015-04-07,2059.05,2059.09,2043.79,2047.03,436232000
2015-04-08,2048.75,2060.19,2046.09,2059.26,552684000
2015-04-09,2060.3,2064.46,2054.17,2058.87,529861000
2015-04-10,2066.32,2089.09,2065.39,2087.76,658383000
2015-04-13,2094.1,2099.97,2088.82,2098.92,561806000
2015-04-14,2101.76,2111.73,2095.97,2111.72,648846000
2015-04-15,2114.56,2122.72,2110.25,2119.96,451397000
2015-04-16,2134.14,2139.9,2125.54,2139.9,476419000
2015-04-17,2142.72,2144.76,2134.1,2143.5,464626000
2015-04-20,2126.55,2146.73,2126.55,2146.71,509037000
2015-04-21,2153.42,2153.84,2140.12,2144.79,561780000
2015-04-22,2146.59,2161.23,2125.88,2143.89,769386000
2015-04-23,2156.94,2174.72,2139.33,2173.41,521587000
2015-04-24,2181.24,2189.54,2154.27,2159.8,508419000
2015-04-27,2169.14,2169.14,2152.09,2157.54,392339000
2015-04-28,2162.5,2164.52,2144.85,2147.67,415054000
2015-04-29,2155.01,2156.24,2126.36,2142.63,458065000
2015-04-30,2134.94,2136.9,2121.29,2127.17,509129000
2015-05-04,2134.51,2139.3,2128.72,2132.23,355620000
2015-05-06,2122.03,2123.22,2095.6,2104.58,428091000
2015-05-07,2098.48,2099.44,2067.99,2091.0,423246000
2015-05-08,2090.19,2094.06,2082.72,2085.52,309504000
2015-05-11,2106.12,2110.79,2097.38,2097.38,329704000
2015-05-12,2100.63,2101.72,2088.64,2096.77,391923000
2015-05-13,2100.1,2115.36,2100.08,2114.16,377032000
2015-05-14,2115.59,2121.68,2111.72,2120.33,430832000
2015-05-15,2132.53,2134.36,2104.77,2106.5,491705000
2015-05-18,2108.15,2113.72,2099.48,2113.72,445154000
2015-05-19,2114.29,2126.89,2107.62,2120.85,418479000
2015-05-20,2128.01,2140.24,2125.49,2139.54,452114000
2015-05-21,2139.68,2140.6,2121.49,2122.81,398146000
2015-05-22,2131.11,2146.1,2126.88,2146.1,444585000
2015-05-26,2146.47,2148.7,2130.3,2143.5,381383000
2015-05-27,2133.49,2134.95,2103.64,2107.5,439029000
2015-05-28,2117.77,2123.52,2110.89,2110.89,416116000
2015-05-29,2109.38,2123.39,2106.7,2114.8,456143000
2015-06-01,2110.12,2110.88,2086.0,2102.37,426927000
2015-06-02,2102.62,2107.17,2076.16,2078.64,520056000
2015-06-03,2078.51,2087.95,2059.34,2063.16,541167000
2015-06-04,2070.49,2082.6,2062.75,2072.86,400364000
2015-06-05,2062.22,2075.02,2060.91,2068.1,394291000
2015-06-08,2068.51,2068.51,2056.5,2065.19,393563000
2015-06-09,2063.4,2073.75,2057.21,2064.03,421880000
2015-06-10,2079.13,2080.03,2049.13,2051.32,427360000
2015-06-11,2065.07,2065.07,2051.1,2056.61,457020000
2015-06-12,2068.45,2074.78,2044.87,2052.17,388258000
2015-06-15,2041.07,2049.68,2033.72,2042.32,313945000
2015-06-16,2045.01,2045.77,2008.46,2028.72,381408000
2015-06-17,2035.48,2037.12,2021.5,2034.86,354723000
2015-06-18,2046.19,2052.0,2036.78,2041.88,390973000
2015-06-19,2056.54,2057.71,2044.71,2046.96,400329000
2015-06-22,2059.6,2068.07,2050.3,2055.16,266962000
2015-06-23,2071.3,2086.09,2066.21,2081.2,329799000
2015-06-24,2086.69,2087.68,2076.78,2085.53,400753000
2015-06-25,2077.84,2088.16,2073.95,2085.06,575912000
2015-06-26,2083.4,2097.01,2080.79,2090.26,492773000
